Edaphic,Hydroclimatic,Physiographic
FA Silt %,FA Mean Annual Precipitation (1981-2010),FA Catchment Area 
FA Sand %,Mean Annual Climatic Deficit ,Mean Basin Elevation 
FA Clay %,FA Average SWE March,Drainage Density (km/km2)
FA Impermeable %,FA Average SWE April,FA Available Water Capacity
FA Permeable %,FA Average SWE May,FA Baseflow Index
,FA Average SWE June,FA Depth to Water Table
,FA Average SWE July,FA Basin Slope %
,FA Average SWE August,FA Stream Slope %
,FA Temperature Max (1981-2010),FA TWI 
,FA July ET (2000-2015),
,FA Aug ET (2000-2015),
,FA Sept ET (2000-2015),
,FA 2011 NLCD Forest %,
